source_file_id,source_file,source_sha256,cohort,slice_id,genotype,roi_id,onset_index,sampling_rate_hz,n_frames,area_pixels,fluorescence_offset,baseline_f0,raw_baseline_median,baseline_method,auc_window_nominal_s,auc_samples_per_window,auc_effective_duration_s,pre_auc,post_auc,delta_auc,raw_median_shift,baseline_mad_scale,robust_z_shift,orthogonal_issue
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT2,105,0.71,214,222.25,100000,70759.715,-29240.285,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.0231012921,0.1543045968,0.1774058889,433.94,260.129583,1.668168591,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT3,105,0.71,214,168.56,100000,70298.44,-29701.56,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.07185892635,0.689689638,0.7615485643,2262.18,196.355544,11.5208359,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT4,105,0.71,214,175.37,100000,70133.48,-29866.52,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.05576659869,0.3735573977,0.4293239964,1093.08,274.295826,3.985040589,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT5,105,0.71,214,118.96,100000,70036.91,-29963.09,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.07351636665,0.4446595012,0.5181758678,1156.04,307.906368,3.754517997,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT6,105,0.71,214,147.3,100000,70492.41,-29507.59,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.06720062206,0.05479463156,0.1219952536,345.56,331.049754,1.043831013,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice1_H1Rflox_GCaMP_CreRFP,WT,WT7,105,0.71,214,167.88,100000,69791.37,-30208.63,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.06852374724,1.023319044,1.091842791,2422.07,320.716032,7.552070238,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO1,118,0.71,213,254.13,100000,68351.145,-31648.855,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.0852953555,1.166611406,1.08131605,2900.22,231.241122,12.5419734,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO2,118,0.71,213,271.71,100000,68808.575,-31191.425,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.02037864252,2.204506907,2.184128265,6206.79,218.083047,28.46067168,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO3,118,0.71,213,316.68,100000,68309.245,-31690.755,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.06342912697,1.676904664,1.613475537,4242.84,224.821464,18.87204151,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO4,118,0.71,213,289.97,100000,68186.16,-31813.84,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.06613491529,0.6603426912,0.5942077759,1529.23,229.380459,6.666784113,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO5,118,0.71,213,259.31,100000,68083.555,-31916.445,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.02367389331,0.3631189584,0.3394450651,963.35,230.981667,4.17067732,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO6,118,0.71,213,328.12,100000,68133.62,-31866.38,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.0407057423,0.6278885065,0.5871827642,1626.9,214.509981,7.584262478,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice2_H1Rflox_GCaMP_CreRFP,KO,KO7,118,0.71,213,214.75,100000,68377.9,-31622.1,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.0607447522,0.4163788691,0.3556341169,965.54,359.330349,2.687053856,
